Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls_p90,Ast_p90,G+A_p90,G-PK_p90,G+A-PK_p90,xG,npxG,xA,npxG+xA,xG_p90,xA_p90,xG+xA_p90,npxG_p90,npxG+xA_p90
Rominigue Kouamé,ml MLI,MF,24,34,34,2968,33,1,2,1,0,0,5,0,0.03,0.06,0.09,0.03,0.09,2.6,2.6,2,4.6,0.08,0.06,0.14,0.08,0.14
Gauthier Gallon,fr FRA,GK,28,31,31,2790,31,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Xavier Chavalerin,fr FRA,FW,30,34,31,2717,30.2,5,2,5,0,0,4,0,0.17,0.07,0.23,0.17,0.23,1.9,1.9,2.8,4.8,0.06,0.09,0.16,0.06,0.16
Yoann Salmier,gf GUF,DF,28,31,30,2668,29.6,0,1,0,0,0,5,0,0,0.03,0.03,0,0.03,0.4,0.4,0.4,0.8,0.01,0.01,0.03,0.01,0.03
Florian Tardieu,fr FRA,MF,29,30,29,2632,29.2,4,2,0,4,4,6,0,0.14,0.07,0.21,0,0.07,3.8,0.8,3.1,3.9,0.13,0.11,0.24,0.03,0.13
Giulian Biancone,fr FRA,DF,21,33,26,2292,25.5,1,2,1,0,0,10,0,0.04,0.08,0.12,0.04,0.12,2,2,1,3,0.08,0.04,0.12,0.08,0.12
Issa Kaboré,bf BFA,DF,20,31,26,2254,25,0,1,0,0,0,8,2,0,0.04,0.04,0,0.04,0.3,0.3,2.2,2.5,0.01,0.09,0.1,0.01,0.1
Renaud Ripart,fr FRA,FW,28,28,22,1893,21,2,2,2,0,0,2,0,0.1,0.1,0.19,0.1,0.19,3.6,3.6,1.3,5,0.17,0.06,0.24,0.17,0.24
Mama Samba Baldé,gw GNB,FW,25,30,20,1717,19.1,3,2,3,0,1,1,1,0.16,0.1,0.26,0.16,0.26,5.8,5.1,1.2,6.3,0.31,0.07,0.37,0.27,0.33
Erik Palmer-Brown,us USA,DF,24,21,19,1734,19.3,0,0,0,0,0,2,0,0,0,0,0,0,0.5,0.5,0.1,0.5,0.02,0,0.03,0.02,0.03
Jimmy Giraudon,fr FRA,DF,29,19,18,1619,18,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0.3,0.3,0,0.02,0.02,0,0.02
Abdu Conté,pt POR,DF,23,17,17,1347,15,0,1,0,0,0,2,0,0,0.07,0.07,0,0.07,0.3,0.3,2.2,2.5,0.02,0.15,0.17,0.02,0.17
Yoann Touzghar,tn TUN,FW,34,28,16,1457,16.2,4,0,4,0,0,0,0,0.25,0,0.25,0.25,0.25,4.7,4.7,0.9,5.6,0.29,0.05,0.35,0.29,0.35
Adil Rami,fr FRA,DF,35,17,14,1171,13,3,0,3,0,0,1,0,0.23,0,0.23,0.23,0.23,0.8,0.8,0,0.9,0.06,0,0.07,0.06,0.07
Tristan Dingomé,cm CMR,MF,30,25,12,1077,12,2,4,2,0,0,3,0,0.17,0.33,0.5,0.17,0.5,0.9,0.9,2.5,3.4,0.08,0.21,0.29,0.08,0.29
Oualid El Hajjam,ma MAR,DF,30,19,12,1072,11.9,1,1,1,0,0,2,0,0.08,0.08,0.17,0.08,0.17,0.9,0.9,1.1,1.9,0.07,0.09,0.16,0.07,0.16
Youssouf Koné,ml MLI,DF,26,21,11,980,10.9,0,1,0,0,0,2,1,0,0.09,0.09,0,0.09,0.2,0.2,1,1.2,0.02,0.09,0.11,0.02,0.11
