Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls_p90,Ast_p90,G+A_p90,G-PK_p90,G+A-PK_p90,xG,npxG,xA,npxG+xA_p90,xG_p90,xA_p90,xG+xA_p90,npxG_p90,npxG+xA_p90
Gauthier Gallon,fr FRA,GK,29-140,7,7,630,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rominigue Kouamé,ml MLI,MF,25-267,7,7,630,7,0,1,0,0,0,2,0,0,0.14,0.14,0,0.14,0.3,0.3,0.5,0.8,0.04,0.08,0.12,0.04,0.12
Florian Tardieu,fr FRA,MF,30-141,7,7,608,6.8,3,0,0,3,3,2,0,0.44,0,0.44,0,0,2.6,0.2,0.6,0.8,0.38,0.09,0.47,0.03,0.12
Erik Palmer-Brown,us USA,DF,25-139,7,7,603,6.7,0,0,0,0,0,1,0,0,0,0,0,0,0.2,0.2,0.1,0.3,0.03,0.01,0.05,0.03,0.05
Mama Samba Baldé,gw GNB,FW,26-308,7,6,512,5.7,3,1,3,0,0,0,0,0.53,0.18,0.7,0.53,0.7,2,2,0.2,2.2,0.35,0.03,0.38,0.35,0.38
Yasser Larouci,dz ALG,DF,21-252,7,6,476,5.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.3,0,0.04,0.05,0,0.05
Yoann Salmier,gf GUF,DF,29-293,6,6,467,5.2,1,0,1,0,0,1,1,0.19,0,0.19,0.19,0.19,0.7,0.7,0,0.7,0.13,0,0.13,0.13,0.13
Thierno Balde,fr FRA,DF,20-092,6,5,422,4.7,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.2,0.3,0.02,0.04,0.06,0.02,0.06
Jackson Porozo,ec ECU,DF,22-037,5,5,418,4.6,0,0,0,0,0,0,0,0,0,0,0,0,0.7,0.7,0,0.7,0.14,0,0.14,0.14,0.14
Renaud Ripart,fr FRA,FW,29-180,7,4,315,3.5,1,0,1,0,0,0,0,0.29,0,0.29,0.29,0.29,1,1,0.2,1.2,0.28,0.05,0.33,0.28,0.33
Ike Ugbo,ca CAN,FW,23-354,6,4,259,2.9,1,0,1,0,0,0,0,0.35,0,0.35,0.35,0.35,0.4,0.4,0.1,0.5,0.13,0.04,0.18,0.13,0.18
Adil Rami,fr FRA,DF,36-257,5,3,359,4,0,0,0,0,0,1,0,0,0,0,0,0,0.2,0.2,0,0.2,0.04,0.01,0.05,0.04,0.05
Rony Lopes,pt POR,FW,26-256,4,3,209,2.3,0,2,0,0,0,0,0,0,0.86,0.86,0,0.86,0.4,0.4,0.4,0.7,0.16,0.15,0.31,0.16,0.31
Wilson Odobert,fr FRA,FW,17-286,7,2,256,2.8,2,0,2,0,0,0,0,0.7,0,0.7,0.7,0.7,0.6,0.6,0,0.6,0.21,0.01,0.22,0.21,0.22
Xavier Chavalerin,fr FRA,MF,31-187,6,2,236,2.6,0,1,0,0,0,1,0,0,0.38,0.38,0,0.38,0.2,0.2,1,1.1,0.06,0.37,0.44,0.06,0.44
Andreas Bruus,dk DEN,DF,23-237,2,2,172,1.9,0,1,0,0,0,0,0,0,0.52,0.52,0,0.52,0,0,0.4,0.4,0,0.21,0.21,0,0.21
Papa Ndiaga Yade,sn SEN,FW,22-248,4,1,140,1.6,0,1,0,0,0,0,0,0,0.64,0.64,0,0.64,0.1,0.1,0.9,1,0.04,0.59,0.63,0.04,0.63
Tristan Dingomé,cm CMR,FW,31-205,3,0,60,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.2,0.3,0.13,0.35,0.48,0.13,0.48
Kyliane Dong,fr FRA,FW,17-348,3,0,58,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0.05,0.05,0.05
Abdu Conté,pt POR,DF,24-170,1,0,26,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0.4,0,1.31,1.31,0,1.31
Lucien Agoume,fr FRA,MF,20-213,1,0,9,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jordan Dongmo,cm CMR,MF,21-223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mateusz Lis,pl POL,GK,25-195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Derek Mazou-Sacko,fr FRA,MF,17-339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marlos Moreno,co COL,FW,25-355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jessy Moulin,fr FRA,GK,36-240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eric N'Jo,fr FRA,DF,18-101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yoann Touzghar,tn TUN,FW,35-286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Banhie Zoukrou,fr FRA,DF,19-126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
